Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Archie Clark,,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7
Gus Williams,91.9,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8
Walter Davis,90.7,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,2.7,0.6
Bobby Wanzer,90.4,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA
Deron Williams,90.0,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.6,2.8
Mike Conley,89.5,10,9.9,8.2,6.8,6.6,6.4,5.3,4.5,4,1.1
Terrell Brandon,89.2,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.2,2.9,0.9
Derek Harper,89.1,9.9,9.4,9.1,8,7.6,6.2,5.4,3.5,2.7,1.3
Dick Van Arsdale,88.9,10.4,10.2,9,8.7,7,5.9,5.6,5.2,3.8,2.6
Mitch Richmond,88.8,10.8,9.3,8,7.9,7.1,6.4,5.6,5.2,4.9,3.1
Richie Guerin,88.4,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,3.5,1.7
