Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,32,CAP,NBA,PG,7,NA,162,6.2,18.3,0.339,3.4,6.2,0.55,0.9,3.1,4,4.7,1.6,0,4,15.8,NA,NA,100
1974-75,33,SEA,NBA,PG,9,NA,269,7,16,0.436,3.1,3.4,0.9,1.2,4.3,5.4,5.3,1,0.2,3.9,17,NA,NA,103
1975-76,34,DET,NBA,SG,9,NA,192,7.1,14.8,0.484,2.9,4.3,0.667,0.5,4.5,5,6.9,1.4,0,5.9,17.1,NA,NA,110
Career,NA,,NBA,,25,NA,623,6.8,16.2,0.454,3.1,4.4,0.772,0.9,4.1,5,5.6,1.3,0.1,4.6,16.8,NA,NA,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DET,NBA,,9,NA,192,7.1,14.8,0.484,2.9,4.3,0.667,0.5,4.5,5,6.9,1.4,0,5.9,17.1,NA,NA,110
1 season,NA,SEA,NBA,,9,NA,269,7,16,0.436,3.1,3.4,0.9,1.2,4.3,5.4,5.3,1,0.2,3.9,17,NA,NA,103
3 seasons,NA,"BAL,CAP",NBA,,7,NA,162,6.2,18.3,0.437,3.4,6.2,0.773,0.9,3.1,4,4.7,1.6,0,4,15.8,NA,NA,100
2 seasons,NA,LAL,NBA,,0,NA,0,NA,NA,0.448,NA,NA,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHI,NBA,,0,NA,0,NA,NA,0.478,NA,NA,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
