,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,25,LAL,NBA,,12,,8,11,,,,,,,,28
1967-68,26,LAL,NBA,,15,,13,13,,,,,,,,39
1968-69,27,PHI,NBA,,11,,9,13,,,,,,,,26
1969-70,28,PHI,NBA,,15,25,11,13,,,9,11,,,6,36
1970-71,29,PHI,NBA,,15,,16,18,,,,,,,,38
1971-72,30,TOT,NBA,,16,,14,17,,,,,,,,40
1971-72,30,PHI,NBA,,11,,7,11,,,,,,,,29
1971-72,30,BAL,NBA,,16,,14,17,,,,,,,,40
1972-73,31,BAL,NBA,,14,,9,11,,,,,,,,33
1973-74,32,CAP,NBA,,11,,8,8,,,,,,,,28
1974-75,33,SEA,NBA,,13,,9,11,,,,,,,,31
1975-76,34,DET,NBA,,8,,6,7,,,,,,,,18
Career,,,,,16,,16,18,,,,,,,,40
4 Seasons,,PHI,NBA,,15,,16,18,,,,,,,,38
3 Seasons,,"BAL,CAP",NBA,,16,,14,17,,,,,,,,40
2 Seasons,,LAL,NBA,,15,,13,13,,,,,,,,39
1 Season,,DET,NBA,,8,,6,7,,,,,,,,18
1 Season,,SEA,NBA,,13,,9,11,,,,,,,,31
