Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Johnny Neumann,,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA,NA,NA,NA,NA
Ed Fleming,87.0,5,2,1.2,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA
Darrick Martin,85.8,4.6,1.9,1.3,0.7,0.5,0.4,0.2,0.1,0.1,0.1,0,-0.1,-0.2
Jason Hart,85.1,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3,NA,NA,NA,NA
Pep Saul,84.4,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Ernie Beck,83.4,4.3,2.1,1.1,0.9,0.9,0.1,-0.4,NA,NA,NA,NA,NA,NA
Al Smith,81.9,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Eddie Jordan,79.7,4.1,2.4,1.9,0.7,0.6,-0.1,-0.8,NA,NA,NA,NA,NA,NA
Matt Maloney,79.3,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA,NA,NA,NA,NA
Moochie Norris,78.8,4.4,1.8,1.7,1.7,0.8,0.3,-0.1,-0.2,-0.4,NA,NA,NA,NA
Brandon Knight,78.6,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA,NA,NA
