Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Johnny Neumann,,4.6,2,1.6,0.8,0.6,0,-0.1
Darrick Martin,91.3,4.6,1.9,1.3,0.7,0.5,0.2,0.1
Jason Hart,88.1,4.8,1.9,1.5,0.4,0.3,0.1,0
Ed Fleming,87.0,5,2,1.2,1,0.8,NA,NA
Pep Saul,84.4,4.2,2.8,1.5,0.8,0.6,NA,NA
Moochie Norris,83.9,4.4,1.8,1.7,1.7,0.8,-0.1,-0.2
Ernie Beck,83.4,4.3,2.1,1.1,0.9,0.9,0.1,-0.4
Al Smith,81.9,4.5,3.3,1.8,0.9,0.6,NA,NA
Eddie Jordan,79.7,4.1,2.4,1.9,0.7,0.6,-0.1,-0.8
Matt Maloney,79.3,5.3,2.2,1.5,0.7,0.1,-0.3,NA
John Barnhill,79.1,4.6,1.7,1.1,1,1,0.7,0.4
