Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Wayman Tisdale,,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2,1.8,1.7,-0.6
Cliff Levingston,94.4,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5,NA
Caron Butler,92.0,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.8,1.2
Junior Bridgeman,90.0,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6
Kenyon Martin,89.2,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0.9,0
Dave Greenwood,88.6,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2,1.7,1.1,0.4
Rudy Gay,88.2,6.4,6.1,6,5.5,5,4.8,4,3.8,3.3,3.1,1.8,0.5
Xavier McDaniel,87.9,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7,0
Cazzie Russell,87.9,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3,2.2,2,1.8,1.1
Terry Tyler,87.9,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,NA
Amir Johnson,87.7,7.3,6.3,5.9,5.6,5.1,5,4.5,4,3,2.7,0.5,0.2
