Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Justise Winslow,,2.8,2.6,2.5,-0.1
Doug McDermott,95.2,2.8,2.6,2.3,0
Arnie Ferrin,94.8,2.6,2.6,2.4,NA
Maurice Harkless,90.6,2.9,2.8,2.4,0.3
Mickey Davis,89.1,3.4,2.6,2.3,-0.1
Lew Hitch,87.7,3.3,2.7,2.2,NA
Charles Jones,87.3,3.2,2.8,2.2,0
Shabazz Muhammad,86.6,2.7,2.7,2,0.3
Sam Williams,85.4,3.7,2.7,2.6,-0.1
Jackie Moreland,85.1,2.6,2.5,2.3,0.5
Jumaine Jones,85.0,3.3,2.9,2.3,0
