Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Justise Winslow,,2.8,2.6,2.5,-0.1,NA,NA,NA
Arnie Ferrin,94.8,2.6,2.6,2.4,NA,NA,NA,NA
Sam Williams,85.4,3.7,2.7,2.6,-0.1,NA,NA,NA
Walter Berry,84.7,3.4,2.4,2.3,NA,NA,NA,NA
Mike Jackson,81.8,3.4,3.1,2.4,0.2,NA,NA,NA
George Adams,80.4,2.3,2.2,2.2,NA,NA,NA,NA
Mickey Davis,80.1,3.4,2.6,2.3,0.4,0.3,-0.1,NA
Shabazz Muhammad,79.5,2.7,2.7,2,0.7,0.3,NA,NA
Tom Tolbert,79.0,2.7,2.5,1.3,0.1,0,0,0
Renaldo Balkman,76.8,2.8,2.6,1.3,0.3,0.1,0,NA
Cal Christensen,75.9,3.2,2.9,1.7,0.4,0,NA,NA
