Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Doug Overton,,1.7,0.9,0.6,0.4,0.2,0.1,-0.2,-0.2,-0.3,-0.3,-0.4
John Warren,60.3,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA,NA
Rick Brunson,58.8,1.9,0.7,0.6,0.6,0.3,-0.1,-0.1,-0.2,-0.2,NA,NA
Kevin McKenna,50.0,1.7,0.9,0.7,0.6,0.5,-0.3,NA,NA,NA,NA,NA
Nik Stauskas,49.6,1.4,1.1,0.5,0.5,0.3,NA,NA,NA,NA,NA,NA
Jannero Pargo,47.5,2,1.3,1.1,0.5,0.2,0.2,0.1,0.1,-0.1,-0.2,-0.3
Isaiah Canaan,46.1,1.4,1.4,0.6,0.5,0.2,0.1,NA,NA,NA,NA,NA
Ben McLemore,45.7,2.5,0.8,0.5,0.4,0.3,0.2,NA,NA,NA,NA,NA
Steve Alford,45.5,1.4,0.9,0.6,0.3,NA,NA,NA,NA,NA,NA,NA
A.J. Price,45.0,2.2,1.2,0.7,0.3,0.3,0,NA,NA,NA,NA,NA
James Anderson,44.6,1.9,0.9,0.5,0.3,-0.3,NA,NA,NA,NA,NA,NA
