Season,Team,Lg,Salary
1992-93,Washington Bullets,NBA,"$140,000"
1993-94,Washington Bullets,NBA,"$500,000"
1994-95,Washington Bullets,NBA,"$550,000"
1995-96,Denver Nuggets,NBA,"$600,000"
1996-97,Philadelphia 76ers,NBA,"$247,500"
1997-98,Philadelphia 76ers,NBA,"$326,700"
1998-99,Philadelphia 76ers,NBA,"$600,000"
1999-00,Boston Celtics,NBA,"$492,000"
1999-00,Philadelphia 76ers,NBA,"$100,000"
2000-01,Boston Celtics,NBA,"$548,500"
2003-04,Los Angeles Clippers,NBA,"$591,454"
2003-04,New Jersey Nets,NBA,"$104,390"
Career,(may be incomplete),,"$4,800,544"
