Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Chick Reiser,,5.5,3.9,3.7,NA,NA,NA,NA,NA,NA
Wilbur Holland,92.0,5.9,4.4,3.8,-0.1,NA,NA,NA,NA,NA
Spencer Dinwiddie,84.6,5.7,4.8,2.8,0.1,0.1,NA,NA,NA,NA
Malcolm Brogdon,83.9,6.5,4.1,2.7,NA,NA,NA,NA,NA,NA
Rudy Fernández,81.9,6.1,3.8,3,1.2,NA,NA,NA,NA,NA
Luther Head,81.3,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA
Don Carlson,79.1,5.8,2.8,2.6,0.2,NA,NA,NA,NA,NA
Charles Dudley,78.3,4.6,4,3.6,1.6,0.2,-0.1,NA,NA,NA
Joe Harris,74.7,5.5,4,0.8,0.2,0,NA,NA,NA,NA
Jim Seminoff,74.3,5.4,4.5,3.6,3.4,NA,NA,NA,NA,NA
Randy Wittman,74.1,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0
