Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kennard Winchester,,0.5,0.4,0.3,NA,NA
Jordan McRae,85.3,0.5,0.4,0.2,NA,NA
Darrin Hancock,85.0,0.5,0.4,0.2,NA,NA
Mario West,79.4,0.5,0.4,0.3,0.2,NA
K.J. McDaniels,74.0,0.6,0.5,0.2,NA,NA
Corey Gaines,69.7,0.6,0.3,0.2,0.1,-0.1
Jorge Gutiérrez,67.9,0.3,0.3,0.2,NA,NA
DeAndre Liggins,66.8,0.6,0.5,0.5,0,0
Julyan Stone,65.3,0.4,0.3,0.2,0.1,NA
Chris Corchiani,64.9,0.9,0.4,0.3,NA,NA
Anthony Jones,64.7,0.5,0.3,0,NA,NA
