Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Damian Jones,,1.5,0.1,0,NA,NA,NA
Brian Evans,90.6,1.5,0.1,0.1,NA,NA,NA
Damjan Rudež,88.8,1.3,0.1,0.1,NA,NA,NA
Perry Jones,88.5,1.5,0.2,0,NA,NA,NA
Michael Bradley,75.5,1.5,0.2,0.1,0.1,0,NA
Stephen Howard,74.4,1.3,0.2,0.1,0,NA,NA
Mario Bennett,74.1,1.5,0.5,0,-0.1,NA,NA
Larry Demic,73.3,1.6,-0.1,-0.1,NA,NA,NA
Mark Pope,73.3,1.3,0.1,0,0,-0.1,-0.1
Jackie Butler,72.2,1.2,0.1,0.1,NA,NA,NA
Dwayne Jones,71.4,1.2,0.1,0.1,0,0,NA
