Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Brandon Ingram,,2.8,2,-0.3,NA,NA
Charlie Black,94.7,2.8,1.8,-0.4,NA,NA
Juan Hernangómez,79.7,3,1.8,0.4,NA,NA
Cheick Diallo,78.1,2.6,1.9,0.5,NA,NA
Jim Palmer,78.0,2.4,1.9,0.2,NA,NA
Dave Sorenson,76.2,2.6,2.1,0.7,NA,NA
Paul Graham,72.1,3.6,1.9,0.2,NA,NA
Marcus Liberty,71.6,2.4,2.2,-0.1,-0.5,NA
Dorian Finney-Smith,68.8,3.3,1.4,0.1,NA,NA
Carey Scurry,68.3,2.6,1.8,0.9,NA,NA
Dave Lattin,68.2,3.2,2,0.6,0.4,0.2
