Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kemba Walker,,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3,NA,NA,NA,NA,NA,NA,NA
Klay Thompson,89.8,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA,NA,NA,NA,NA,NA
Jim Paxson,86.9,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,NA,NA,NA,NA
Bob Davies,86.3,8.6,7.7,7.7,7.4,6.9,6.3,5.2,NA,NA,NA,NA,NA,NA,NA,NA
Kerry Kittles,84.5,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,NA,NA,NA,NA,NA,NA,NA
Jon McGlocklin,84.1,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,NA,NA,NA,NA
Andy Phillip,84.0,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA,NA,NA,NA,NA
Kyrie Irving,83.7,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA,NA,NA,NA
Michael Redd,83.4,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1,NA,NA,NA
Doug Christie,83.1,8.9,8.7,8.6,7,5.7,5.1,4.2,4,1.4,1.4,0.9,0.1,0.1,-0.1,-0.3
Darrell Armstrong,83.0,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0,NA
