Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Kemba Walker,,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3
Lenny Wilkens,95.8,10.1,8.1,7.6,7.6,5,4.9,4,0.4
Andy Phillip,93.0,9.7,7.7,7.4,7.1,5.5,4.8,3.8,NA
Jim Paxson,91.7,10.2,9.5,7.7,7.5,6.5,4.8,3.4,0.3
Larry Costello,91.3,9.2,8.6,8.5,8,5.9,5.7,3.4,0.2
World B. Free,90.7,10.1,8,7.4,6.9,6,5.7,4.6,1.5
Mike Bibby,90.6,9.3,8.5,8.4,6.3,5.6,5.6,5.3,1.3
Mike Conley,90.0,9.9,8.2,6.8,6.6,6.4,4.5,4,1.1
Klay Thompson,89.8,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7
Rod Strickland,89.2,9.3,8.5,7.4,7.1,5.7,5.2,4.3,3.7
Billy Knight,88.8,10.7,8.4,8.3,7.1,6,5.8,4.3,3.7
