,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,23,DET,NBA,SG,24,224,94%,6%,,,,-7.3,-3.4,10,3,5,2,7,1,83,1,8
Career,,,NBA,,24,224,94%,6%,,,,-7.3,-3.4,10,3,5,2,7,1,83,1,8
