Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Williamson,,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3
Jrue Holiday,89.6,5.7,4.2,3.8,3.4,3.4,3.3,1.5,1.2
John Long,89.5,5.3,4.7,3.6,3.6,3.3,2.4,2,0.2
Carlos Delfino,89.4,4.8,4,3.5,3.5,2.9,2.4,1,0.5
Jamal Crawford,89.1,5,4.5,4.2,4.1,3.1,2.8,0.6,-0.9
Cory Joseph,88.8,4.5,3.5,3.5,3.4,3.1,2.9,0.9,0
Allen Leavell,88.6,4.8,4.3,4,3.8,3,2.4,1.9,0.6
Henry Bibby,88.3,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1
O.J. Mayo,87.0,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1
Don Ohl,86.7,5.1,4.5,4.4,4.1,3.9,3.2,1.2,0.8
J.R. Smith,86.5,5.8,5,3.7,3.7,2.7,2.5,1.2,0.2
