Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
John Williamson,,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,NA,NA
Carlos Delfino,89.4,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA
Cory Joseph,88.8,4.5,3.5,3.5,3.4,3.1,2.9,0.9,0,NA,NA
O.J. Mayo,87.0,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,NA,NA
Jodie Meeks,86.9,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Henry Bibby,85.6,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1,NA
Odie Spears,84.8,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA
Maurice Evans,84.0,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA
Lionel Hollins,84.0,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Bobby Phills,84.0,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA
Patrick Beverley,83.9,5.3,4.8,4.4,4.2,3.5,2.2,0.4,NA,NA,NA
