Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Gianelli,,5.5,4.4,3.6,3.2,3,2.5,1.2,-0.4
Eddy Curry,89.3,4.7,4.3,3.5,3.3,3,1.8,1.7,0
Zaza Pachulia,88.4,4.8,3.9,3.9,3.1,2.9,2.7,1.1,0.3
Andrew Lang,87.5,5.7,4.9,3.7,3,2.9,2.3,1.7,1.4
Bismack Biyombo,87.1,5.9,4,3.2,2.9,2.9,2,1.4,0.6
Wayne Cooper,87.1,5.1,4.1,3.5,2.9,2.9,2.8,1.5,1.2
George Johnson,86.1,5,3.6,3.5,3.4,2.6,2.6,2,0.3
Kevin Duckworth,85.4,5.2,4.8,4.8,4.3,3.3,2.5,0.8,-0.5
Benoit Benjamin,85.1,5.4,5.1,4,3,2.2,2,1.1,0.9
Mel Counts,84.7,5,4.3,4.2,2.9,2.7,1.9,1.5,1
Kelly Olynyk,84.1,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA
