Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Daniel Gibson,,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA,NA,NA
Bob Hansen,85.2,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,NA,NA
T.J. Ford,84.8,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA,NA
Fred Jones,84.8,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA,NA
Trenton Hassell,84.7,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,NA,NA
Charlie Criss,84.5,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA,NA,NA
Whitey Skoog,84.2,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA
Adrian Griffin,83.8,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0,NA,NA
Tony Snell,83.8,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA,NA,NA
Al Wood,83.6,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA,NA,NA
Jamaal Tinsley,83.5,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3
