Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Daniel Gibson,,4.1,3.8,2.6,2.4,2,0.5,0.5
Darrell Griffith,90.1,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Jamaal Tinsley,89.8,4.4,3.7,2.8,2.8,1.7,0.8,0.7
Gerald Henderson,88.2,3.6,3.6,3.3,2.4,2,1,0.4
Sedale Threatt,87.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
T.J. Ford,85.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2
Adrian Griffin,85.3,3.9,3.5,2.9,2.9,1.3,0.4,0.1
Mickaël Piétrus,85.1,3.6,3.6,3,2.8,2.1,1.5,0.6
Calbert Cheaney,85.0,4.1,3.9,3.2,3.2,1.2,0.8,0.4
Fred Jones,84.8,4.8,4,2.6,2.2,1.6,1.2,0
Rod Thorn,84.7,3.5,3.4,2.9,2.3,2.1,1.4,0.1
