Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Alan Williams,,2.1,0.2,0.2,0,NA,NA
Dean Tolson,88.0,2,0.2,0,NA,NA,NA
Joe Roberts,87.6,1.9,0.2,0.2,0,NA,NA
J.J. Anderson,85.7,2.3,0.2,0.1,NA,NA,NA
Dick Ricketts,84.7,2,0.1,0,NA,NA,NA
Gerard King,80.3,2.3,0.5,0.2,NA,NA,NA
Eric Moreland,79.4,2.3,0,0,0,NA,NA
Linton Johnson,75.3,1.9,0.4,0.4,0,0,0
Sean May,73.7,2.2,0.4,0.3,-0.3,NA,NA
Ryan Kelly,73.2,2.2,0.7,0.1,0.1,NA,NA
Jim Holstein,72.7,1.8,0.6,0.2,NA,NA,NA
