Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Ed Nealy,,4.7,2,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3,NA,NA,NA,NA
Ed Manning,84.5,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3,NA,NA,NA,NA,NA
Brian Skinner,82.8,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1,0,0,0
Samaki Walker,82.0,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5,0,-0.1,NA,NA,NA,NA
Joe Bryant,81.5,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0,NA,NA,NA,NA,NA,NA
Jon Leuer,80.1,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA,NA,NA,NA,NA
Etan Thomas,79.2,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA,NA,NA,NA
Travis Outlaw,78.6,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0,-0.1,NA,NA,NA
James Bailey,78.2,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA,NA,NA,NA,NA
Ryan Bowen,77.4,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA,NA,NA,NA
Darius Songaila,76.9,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0,NA,NA,NA,NA,NA,NA
