Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Glen Combs,,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA,NA,NA
George Thompson,86.2,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA,NA,NA
Paul Seymour,84.9,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
Micheal Ray Richardson,84.4,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
Phil Chenier,83.9,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1,NA,NA
Bradley Beal,83.5,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA,NA,NA
Darel Carrier,83.4,8.7,8,7.8,4.9,0.9,0.2,NA,NA,NA,NA,NA,NA
George King,82.1,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA,NA,NA,NA
Doug Collins,81.0,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA,NA,NA
Frankie Brian,80.6,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA,NA,NA
Ray Williams,80.3,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4,NA,NA
