,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,DLC,ABA,,16,,2,,,,10,13,,,,,,,,,40
1969-70,23,DLC,ABA,,13,,3,,,,7,9,,,,,,,,,33
1970-71,24,TOT,ABA,,10,,2,,,,8,10,,,,,,,,,25
1970-71,24,UTS,ABA,,10,,2,,,,8,10,,,,,,,,,25
1971-72,25,UTS,ABA,,9,,3,,,,7,8,,,,,,,,,20
1972-73,26,UTS,ABA,,5,,0,,,,2,2,,,,,,,,,10
Career,,,,,16,,3,,,,10,13,,,,,,,,,40
3 Seasons,,UTS,ABA,,10,,3,,,,8,10,,,,,,,,,25
2 Seasons,,DLC,ABA,,16,,3,,,,10,13,,,,,,,,,40
