Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Glen Combs,,8.7,8.6,6.7,5.1,2.7,2.5,0
Paul Seymour,90.4,9.3,8.7,6.7,3.8,3.2,1.8,0.4
Micheal Ray Richardson,88.5,8.7,6.9,6,5.5,2.4,2,0.3
Ricky Pierce,87.1,9.4,8.3,6.7,3,2.2,1.8,-0.1
Kenny Smith,87.1,9,8.2,6.1,5.1,4.1,2.6,2.2
Brian Taylor,87.0,8.3,7.9,5.3,4.8,3.6,1.8,0.1
George Thompson,86.2,7.7,6.7,6.5,5.6,2.7,1.8,NA
Latrell Sprewell,86.0,8.1,8,5.5,4,3,2,0.4
Allan Houston,85.3,8.6,7.1,6.1,4.7,3.8,2.9,-1.2
Jon McGlocklin,85.3,8.9,8.2,7.9,5.8,1.8,1.1,0.9
Gene Shue,85.3,8.5,7.6,5.6,4.6,4.6,2.4,0.4
