Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Damon Jones,,8.7,3.9,3.4,3,2.4,1.9,1.8,1.5,0.7,0.7,0,NA,NA
Kevin Loughery,84.7,8,4,3.6,3,2.9,2.8,2.6,2.5,0.6,0.1,-0.3,NA,NA
Brevin Knight,84.0,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,NA
Larry Hughes,81.0,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5
Anthony Morrow,80.4,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA,NA
Darrell Walker,80.3,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,NA,NA,NA
Vernon Maxwell,79.4,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0,0
Travis Best,79.0,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA,NA,NA
Larry Drew,78.8,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA,NA,NA
Bill Hanzlik,77.7,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7,NA,NA,NA
George McCloud,77.7,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,NA
