Season,Team,Lg,Salary
1998-99,Boston Celtics,NBA,"$287,500"
1999-00,Dallas Mavericks,NBA,"$106,441"
1999-00,Golden State Warriors,NBA,"$70,206"
2000-01,Vancouver Grizzlies,NBA,"$710,000"
2001-02,Detroit Pistons,NBA,"$565,850"
2002-03,Sacramento Kings,NBA,"$637,435"
2003-04,Milwaukee Bucks,NBA,"$751,179"
2004-05,Miami Heat,NBA,"$2,503,000"
2005-06,Cleveland Cavaliers,NBA,"$3,590,000"
2006-07,Cleveland Cavaliers,NBA,"$3,884,678"
2007-08,Cleveland Cavaliers,NBA,"$4,172,432"
2008-09,Milwaukee Bucks,NBA,"$4,460,186"
Career,(may be incomplete),,"$21,738,907"
