Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Damon Jones,,8.7,3.9,3.4,3,2.4,1.9,1.8,1.5,0.7,0.7,0
Brevin Knight,85.2,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.2
Kevin Loughery,84.7,8,4,3.6,3,2.9,2.8,2.6,2.5,0.6,0.1,-0.3
Steve Blake,82.9,5.8,3.8,3.3,2.8,2.4,2.1,1.8,1.8,1,0.7,0.3
Larry Hughes,82.9,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.6
Vernon Maxwell,81.0,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0
Anthony Morrow,80.4,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA
Darrell Walker,80.3,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,NA
Beno Udrih,80.0,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.2,1,0.8
Leandro Barbosa,79.5,8.2,5.5,5,3.8,1.9,1.8,1.7,1.5,1.1,0.9,0.4
Jon Barry,79.1,7.5,5.6,4.2,2.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
