Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1950-51,22,BOS,NBA,PG,2,NA,NA,0.296,0.286,NA,NA,NA,NA,NA,-0.4,0.1,-0.3,NA
1951-52,23,BOS,NBA,PG,3,138,25.4,0.551,0.677,NA,NA,NA,32.1,NA,0.6,0,0.7,0.227
1952-53,24,BOS,NBA,PG,6,270,22.7,0.503,0.608,NA,NA,NA,37.8,NA,0.9,0.1,0.9,0.166
1953-54,25,BOS,NBA,PG,6,260,16.6,0.423,0.647,NA,NA,NA,33,NA,-0.1,0.2,0.1,0.015
1954-55,26,BOS,NBA,PG,7,299,19.7,0.475,0.345,NA,NA,NA,35,NA,0.5,-0.1,0.4,0.07
1955-56,27,BOS,NBA,PG,3,124,31.6,0.59,0.446,NA,NA,NA,39.5,NA,0.7,0.3,1,0.381
1956-57,28,BOS,NBA,PG,10,440,17.1,0.409,0.44,NA,NA,NA,31.8,NA,0.2,1.1,1.2,0.134
1957-58,29,BOS,NBA,PG,11,457,17.6,0.432,0.383,NA,NA,NA,27.5,NA,0.5,0.9,1.5,0.156
1958-59,30,BOS,NBA,PG,11,460,16.1,0.408,0.425,NA,NA,NA,31.6,NA,-0.1,1.2,1,0.107
1959-60,31,BOS,NBA,PG,13,468,12.7,0.35,0.195,NA,NA,NA,32.7,NA,-0.9,1.2,0.2,0.023
1960-61,32,BOS,NBA,PG,10,337,17.8,0.45,0.599,NA,NA,NA,34.1,NA,0.4,0.8,1.2,0.166
1961-62,33,BOS,NBA,PG,14,474,15.5,0.408,0.315,NA,NA,NA,35,NA,-0.2,1.1,0.8,0.083
1962-63,34,BOS,NBA,PG,13,393,14.4,0.407,0.23,NA,NA,NA,38.8,NA,-0.5,0.8,0.3,0.04
Career,NA,,NBA,,109,4120,17.4,0.426,0.396,NA,NA,NA,33.6,NA,1.5,7.6,9.1,0.109
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13 seasons,NA,BOS,NBA,,109,4120,17.4,0.426,0.396,NA,NA,NA,33.6,NA,1.5,7.6,9.1,0.109
