,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,22,BOS,NBA,,16,,12,14,,,,39
1951-52,23,BOS,NBA,,14,,14,18,,,6,33
1952-53,24,BOS,NBA,,13,,17,,,,,32
1953-54,25,BOS,NBA,,17,,13,16,,,,42
1954-55,26,BOS,NBA,,14,,15,,,,6,40
1955-56,27,BOS,NBA,,11,,15,16,,,6,32
1956-57,28,BOS,NBA,,15,,13,16,,,5,35
1957-58,29,BOS,NBA,,17,,12,13,,,6,39
1958-59,30,BOS,NBA,,15,,15,17,,,5,37
1959-60,31,BOS,NBA,,18,,14,15,,,6,46
1960-61,32,BOS,NBA,,13,,10,11,,,5,33
1961-62,33,BOS,NBA,,14,,11,14,,,,32
1962-63,34,BOS,NBA,,10,,10,15,,,,23
1969-70,41,CIN,NBA,,1,2,2,2,2,,5,3
Career,,,,,18,,17,,,,,46
13 Seasons,,BOS,NBA,,18,,17,,,,,46
1 Season,,CIN,NBA,,1,2,2,2,2,,5,3
