,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2001-02,24,BOS,NBA,SG,16,672,,89%,11%,,,+4.4,+11.8,17,26,22,13,57,0,155,11,14
2002-03,25,BOS,NBA,SG,10,445,,98%,2%,,,-1.5,-10.7,18,20,19,5,46,0,161,11,8
2003-04,26,BOS,NBA,SG,4,162,,54%,46%,,,-18.5,+5.6,13,9,5,2,12,0,22,3,8
2004-05,27,BOS,NBA,SF,7,277,,1%,78%,21%,,-1.4,-1.8,5,11,10,1,23,0,72,2,6
2007-08,30,BOS,NBA,SF,26,990,,21%,79%,1%,,+7.9,+8.6,37,26,43,11,59,12,260,10,23
2008-09,31,BOS,NBA,SF,14,556,,,92%,7%,,+2.4,+9.4,13,16,22,2,44,4,92,5,18
2009-10,32,BOS,NBA,SF,24,930,,,98%,2%,,+2.7,-1.9,28,21,42,7,57,13,182,12,19
2010-11,33,BOS,NBA,SF,9,343,,8%,88%,5%,,+1.4,+0.8,11,6,16,3,15,4,59,5,11
2011-12,34,BOS,NBA,SF,20,778,,2%,69%,29%,,-1.2,-11.3,25,16,32,8,49,1,133,12,23
2012-13,35,BOS,NBA,SF,6,255,,40%,55%,5%,,-8.1,-14.2,12,12,9,3,10,6,71,2,5
2013-14,36,BRK,NBA,SF,12,368,,,17%,83%,,-1.4,+0.5,4,7,22,6,11,2,54,5,3
2014-15,37,WAS,NBA,SF,10,298,,,50%,49%,,-0.1,-10.8,4,3,17,2,7,2,19,0,3
2015-16,38,LAC,NBA,SF,5,54,,,63%,37%,,-15.1,-18.5,0,2,6,0,2,0,3,0,0
2016-17,39,LAC,NBA,SF,7,101,,,34%,66%,,+7.5,+13.5,4,0,6,0,1,0,12,1,0
Career,,,NBA,,170,6229,,24%,62%,15%,,+1.2,+0.1,191,175,271,63,393,44,1295,79,141
,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,BOS,NBA,,136,5408,,27%,66%,7%,,+1.5,+0.6,179,163,220,55,372,40,1207,73,135
2 seasons,,LAC,NBA,,12,155,,,44%,56%,,-0.4,+2.4,4,2,12,0,3,0,15,1,0
1 season,,BRK,NBA,,12,368,,,17%,83%,,-1.4,+0.5,4,7,22,6,11,2,54,5,3
1 season,,WAS,NBA,,10,298,,,50%,49%,,-0.1,-10.8,4,3,17,2,7,2,19,0,3
