,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,22,SYR,NBA,,20,,10,11,,,,45
1959-60,23,SYR,NBA,,12,,9,12,,,,29
1960-61,24,SYR,NBA,,16,,11,,,,,35
1961-62,25,SYR,NBA,,17,,14,,,,,44
1962-63,26,SYR,NBA,,14,,12,,,,,32
1963-64,27,PHI,NBA,,19,,13,16,,,,50
1964-65,28,PHI,NBA,,14,31,16,21,12,13,6,36
1965-66,29,PHI,NBA,,15,32,15,17,11,,6,38
1966-67,30,PHI,NBA,,16,,13,15,,,,39
1967-68,31,PHI,NBA,,17,31,17,21,11,11,6,43
1968-69,32,PHI,NBA,,18,,14,15,,,,48
1969-70,33,PHI,NBA,,17,32,15,17,14,14,6,40
1970-71,34,PHI,NBA,,16,,13,15,,,,36
1971-72,35,PHI,NBA,,14,,7,8,,,,31
1972-73,36,PHI,NBA,,7,,5,5,,,,17
Career,,,,,20,,17,,,,,50
