Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Beasley,,8.9,8.1,8,6.8,3.3,2,0.8
Josh Howard,92.0,8.8,8,6.7,6.4,3.5,3.2,1
Nick Anderson,89.7,8.3,7.7,7.6,7.4,3.6,3.1,1.8
Clifford Robinson,89.2,8.7,8,7.5,6.8,4.6,4.2,0.3
David West,87.7,8.4,7.8,7.5,7.4,5.2,2.8,0.2
Jim McMillian,87.6,8.9,7.9,7.8,6.4,6,2.6,2.5
Lamar Odom,87.6,9.2,8.4,6.5,4.7,3.2,2.2,0.7
Antawn Jamison,87.4,9,8.5,6.7,6.4,5.4,2.3,1.4
Mickey Johnson,86.8,8.5,8.3,7.3,7.2,5.3,3.7,0.7
Trooper Washington,85.3,8.3,6.9,6.3,6,3.4,2.2,NA
Tristan Thompson,85.0,8.7,7.3,6.8,5.7,5.2,2.5,1.1
