,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,DLC,ABA,,16,,0,,,,12,14,,,,,,,,,34
1968-69,24,DLC,ABA,,17,,1,,,,11,13,,,,,,,,,42
1969-70,25,DLC,ABA,,20,,1,,,,14,16,,,,,,,,,45
1970-71,26,TEX,ABA,,14,,2,,,,10,11,,,,,,,,,33
1971-72,27,TOT,ABA,,7,,1,,,,8,9,,,,,,,,,22
1971-72,27,DLC,ABA,,7,,0,,,,8,9,,,,,,,,,22
1971-72,27,UTS,ABA,,6,,1,,,,4,4,,,,,,,,,15
1972-73,28,UTS,ABA,,12,,4,,,,5,5,,,,,,,,,29
1973-74,29,UTS,ABA,,8,,2,,,,3,3,,,,,,,,,18
Career,,,,,20,,4,,,,14,16,,,,,,,,,45
5 Seasons,,"DLC,TEX",ABA,,20,,2,,,,14,16,,,,,,,,,45
3 Seasons,,UTS,ABA,,12,,4,,,,5,5,,,,,,,,,29
