,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,DLC,ABA,,14,,1,,,,11,11,,,,,,,,,31
1968-69,24,DLC,ABA,,10,,0,,,,9,10,,,,,,,,,23
1969-70,25,DLC,ABA,,13,,0,,,,3,4,,,,,,,,,28
1970-71,26,TEX,ABA,,9,,1,,,,2,3,,,,,,,,,19
1971-72,27,TOT,ABA,,6,,1,,,,3,3,,,,,,,,,12
1971-72,27,UTS,ABA,,6,,1,,,,3,3,,,,,,,,,12
1972-73,28,UTS,ABA,,4,,1,,,,2,2,,,,,,,,,10
1973-74,29,UTS,ABA,,4,,1,,,,2,2,,,,,,,,,11
Career,,,,,14,,1,,,,11,11,,,,,,,,,31
4 Seasons,,"DLC,TEX",ABA,,14,,1,,,,11,11,,,,,,,,,31
3 Seasons,,UTS,ABA,,6,,1,,,,3,3,,,,,,,,,12
