Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
John Beasley,,8.9,8.1,8,6.8,3.3,2,0.8,NA,NA,NA
Josh Howard,90.6,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2
Trooper Washington,85.3,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
Draymond Green,82.9,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA,NA
Arnie Johnson,81.9,9.1,8.7,7.5,7.2,6.7,NA,NA,NA,NA,NA
Goose Ligon,81.8,9.9,9.7,6.5,6.3,2.4,1,0.3,NA,NA,NA
Jim McMillian,81.0,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA
Bob Kauffman,80.8,8,7.9,7.9,3.1,2,1.4,1.2,NA,NA,NA
Kermit Washington,80.8,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
Tristan Thompson,80.3,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA
Fred Schaus,79.4,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA,NA
