Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sean Kilpatrick,,1.4,1,0.1,0.1,NA
Ollie Mack,83.6,1.6,1,-0.1,NA,NA
Byron Irvin,81.9,1.2,0.9,0,NA,NA
Bobby Washington,80.6,1.5,0.7,0,NA,NA
Mel Peterson,78.0,1.3,1,0,-0.2,NA
Mike Flynn,77.5,1.7,0.8,0.3,NA,NA
Lloyd Daniels,76.3,1.8,1.1,0.2,0.1,0
Richie Frahm,75.8,1.5,1,0.5,-0.2,NA
Jordan Hamilton,75.6,1.6,0.8,0.3,0.2,0.1
Tracy Jackson,75.3,1.7,0.7,0,NA,NA
Rod Foster,75.2,1.6,0.9,-0.3,NA,NA
