Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Sidney Lowe,,1.7,1.5,0.5,0.3,NA,NA
Richie Regan,86.8,1.6,1.5,0.4,NA,NA,NA
Rashad McCants,81.4,1.7,1.6,0.6,-0.3,NA,NA
Quinn Cook,79.8,1.8,1.6,0.2,NA,NA,NA
Jimmy O'Brien,79.8,1.4,1.4,1,0.2,NA,NA
Isaiah Canaan,78.4,1.4,1.4,0.6,0.5,0.2,0.1
Corky Devlin,76.0,1.8,1.2,0.8,NA,NA,NA
Steve Bracey,74.7,2.1,1.5,0.3,NA,NA,NA
Kevin O'Shea,74.2,2.1,1.2,0.5,NA,NA,NA
Chink Crossin,74.0,2.1,1.2,0.5,NA,NA,NA
Andrew Harrison,73.8,1.7,1.6,-0.1,NA,NA,NA
