Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sidney Lowe,,1.7,1.5,0.5,0.3
Tony Smith,94.3,1.7,1.5,0.5,0.1
Avery Johnson,94.0,1.6,1.3,0.5,0.3
Isaiah Canaan,88.9,1.4,1.4,0.5,0.2
Randy Brown,86.9,1.9,1.6,0.4,0.3
Richie Regan,86.8,1.6,1.5,0.4,NA
Tony Delk,84.0,1.6,1.3,0.8,0.4
Chris Carr,82.3,1.7,1.1,0.3,0.2
Al Bianchi,81.4,1.8,1.5,0.8,0.8
Rashad McCants,81.4,1.7,1.6,0.6,-0.3
Malik Sealy,80.9,2.1,1.2,0.6,0.2
