Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Tayshaun Prince,,9.4,8,7.5,7.5,7,6.2,3.6,3.3,3.2,2.5,2.1,1.5,0.8,0.4
Hedo Türkoğlu,90.9,9,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1,0.8,-0.5
Bill Bridges,90.1,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6,0.2,NA
Jack Marin,90.1,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,NA,NA,NA
Jerome Kersey,90.0,8.8,8.6,6.8,6.8,6.7,6.4,3.8,3.6,3.4,3.2,2.5,2.4,2.2,1.2
Corey Maggette,89.4,8.6,8.1,7,6.9,6.3,5,3.9,3.4,3.3,3.3,3,2.6,0.7,0.1
Mickey Johnson,88.9,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,NA,NA
Hot Rod Williams,87.2,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,NA
Greg Ballard,87.1,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0,NA,NA,NA
Zach Randolph,86.9,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,3.1,3,3,2.1,1.3,0.5
Mark Aguirre,86.8,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9,1.8,0.9,NA
