,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2002-03,22,DET,NBA,SF,15,382,,,88%,12%,,+6.4,+10.5,8,4,12,1,11,0,54,2,6
2003-04,23,DET,NBA,SF,23,795,,1%,96%,3%,,+8.3,+2.7,11,6,31,2,24,0,119,4,18
2004-05,24,DET,NBA,SF,25,1023,,,97%,3%,,+7.6,+12.9,15,16,24,4,26,0,185,5,23
2005-06,25,DET,NBA,SF,18,745,,,97%,3%,,+3.5,-1.1,13,11,11,2,36,4,128,7,9
2006-07,26,DET,NBA,SF,16,665,,,97%,3%,,+8.7,+35.9,14,9,21,2,24,3,140,8,5
2007-08,27,DET,NBA,SF,17,671,,,98%,3%,,+4.0,+6.1,9,13,13,5,13,3,122,2,9
2008-09,28,DET,NBA,SF,4,129,,3%,97%,,,-23.4,-7.2,2,1,3,1,0,1,10,0,1
2012-13,32,MEM,NBA,SF,15,454,,,87%,13%,,+2.2,+2.9,5,2,8,1,5,2,66,0,3
2013-14,33,MEM,NBA,SF,7,113,,,92%,8%,,-6.8,-2.0,0,0,4,0,0,0,13,0,1
Career,,,NBA,,140,4977,,,95%,4%,,+5.0,+9.4,77,62,127,18,139,13,837,28,75
,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DET,NBA,,118,4410,,,96%,3%,,+5.6,+10.3,72,60,115,17,134,11,758,28,71
2 seasons,,MEM,NBA,,22,567,,,88%,12%,,+0.4,+1.9,5,2,12,1,5,2,79,0,4
