Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
George Trapp,,3.5,2.4,1.5,1,0.1,-0.2
Bobby Portis,90.0,3.5,2.4,1.6,1.5,NA,NA
Greg Kelser,88.7,3.9,2.5,1.4,0.8,0.1,0
George Kaftan,85.8,3.4,2.4,1.7,1.6,-0.1,NA
Billy Thompson,85.6,3.6,2.8,1.7,1.6,0,-0.1
Darren Daye,83.9,3.8,2.4,1.3,1.2,0.6,NA
Boštjan Nachbar,83.9,4.1,2.2,1.7,0.8,0.1,-0.1
Cristiano Felício,83.7,3.4,1.7,1.4,1.2,NA,NA
Mark Alarie,83.5,3.1,2.2,1.5,0.9,0.6,NA
Trey Lyles,82.9,3.9,2.3,1.2,0.8,NA,NA
Rondae Hollis-Jefferson,82.8,4.1,2.6,1.2,1.2,NA,NA
