Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,ATL,NBA,PF,60,NA,14.8,2.4,6.5,0.371,1.8,2.3,0.755,NA,NA,3.1,0.9,NA,NA,2.4,6.6
1972-73,24,ATL,NBA,PF,77,NA,24.1,4.7,10.7,0.436,1.9,2.5,0.773,NA,NA,5.9,1.6,NA,NA,3.6,11.3
1973-74,25,DET,NBA,PF,82,NA,18.2,4.1,8.5,0.481,1.2,1.6,0.739,1.2,2.6,3.8,1,0.6,0.4,2.8,9.3
1974-75,26,DET,NBA,PF,78,NA,18.9,3.7,8.4,0.442,1.3,1.7,0.756,0.9,2.6,3.5,0.8,0.5,0.2,2.7,8.7
1975-76,27,DET,NBA,PF,76,NA,14.4,3.7,7.9,0.462,0.8,1.2,0.716,1,2,3,0.7,0.4,0.3,2.2,8.1
1976-77,28,DET,NBA,PF,6,NA,11.3,2.5,4.8,0.517,0.5,0.7,0.75,0.7,1,1.7,0.5,0,0.2,2.2,5.5
Career,NA,,NBA,,379,NA,18.1,3.7,8.4,0.444,1.4,1.8,0.752,1,2.4,3.9,1,0.5,0.3,2.7,8.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,242,NA,17,3.8,8.2,0.463,1.1,1.5,0.739,1,2.4,3.4,0.8,0.5,0.3,2.5,8.6
2 seasons,NA,ATL,NBA,,137,NA,20,3.7,8.8,0.415,1.9,2.4,0.766,NA,NA,4.7,1.3,NA,NA,3.1,9.2
