Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mike Bantom,,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5
Morris Peterson,94.2,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.6
Larry Smith,93.8,6.1,5.4,5.2,4.7,4.3,4,3.7,3.1,0.3
John Block,92.1,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2
Jared Dudley,91.8,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4
Bill Bradley,89.7,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1
Harvey Grant,89.6,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7
Robert Reid,89.5,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3,2.3
Nick Collison,89.3,5.2,5,4.7,4.6,4.5,3.9,3.6,3.5,2.3
Jeff Green,89.2,6.6,5.2,4.8,4.7,4.2,3.3,3.1,0.7,0.2
Sam Mitchell,89.1,6.1,5.1,5.1,4.3,3.7,3.3,2.8,2.3,2.2
