,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1966-67,23,CHI,NBA,,3,8,,,,,2,2,,,10,2,,,4,7
1967-68,24,NYK,NBA,,7,,,,,,2,3,,,,,,,,15
1968-69,25,NYK,NBA,,9,,,,,,5,8,,,,,,,,18
1969-70,26,NYK,NBA,,6,,,,,,4,5,,,,,,,,12
1970-71,27,BUF,NBA,,5,,,,,,2,8,,,,,,,,12
1971-72,28,PTC,ABA,,4,,0,,,,2,3,,,,,,,,10
Career,,,TOT,,9,,,,,,5,8,,,,,,,,18
,,,NBA,,9,,,,,,5,8,,,,,,,,18
,,,ABA,,4,,0,,,,2,3,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,
3 Seasons,,NYK,NBA,,9,,,,,,5,8,,,,,,,,18
1 Season,,BUF,NBA,,5,,,,,,2,8,,,,,,,,12
1 Season,,PTC,ABA,,4,,0,,,,2,3,,,,,,,,10
1 Season,,CHI,NBA,,3,8,,,,,2,2,,,10,2,,,4,7
