Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1966-67,23,CHI,NBA,C,9,65,9.8,0.449,NA,0.381,NA,NA,NA,3.9,NA,NA,NA,NA,0,0.1,0.1,0.067
1967-68,24,NYK,NBA,C,42,272,11,0.405,NA,0.112,NA,NA,NA,10,NA,NA,NA,NA,-0.4,0.4,0,-0.006
1968-69,25,NYK,NBA,C,67,607,9.2,0.382,NA,0.27,NA,NA,NA,11.3,NA,NA,NA,NA,-1,1,0,0
1969-70,26,NYK,NBA,C,81,744,8.9,0.439,NA,0.336,NA,NA,NA,7.4,NA,NA,NA,NA,-0.5,1.8,1.3,0.083
1970-71,27,BUF,NBA,C,44,483,10,0.413,NA,0.257,NA,NA,16.3,11.4,NA,NA,NA,NA,-0.4,0.4,0,0
1971-72,28,PTC,ABA,C,18,217,6,0.377,0.019,0.17,13.5,23.1,18.3,6.8,NA,23,12.4,NA,-0.3,0,-0.3,-0.07
Career,NA,,TOT,,261,2388,9.2,0.41,0.001,0.257,13.5,23.1,16.9,9.4,NA,23,12.4,NA,-2.6,3.7,1,0.021
,NA,,NBA,,243,2171,9.5,0.412,NA,0.263,NA,NA,16.3,9.6,NA,NA,NA,NA,-2.3,3.7,1.3,0.03
,NA,,ABA,,18,217,6,0.377,0.019,0.17,13.5,23.1,18.3,6.8,NA,23,12.4,NA,-0.3,0,-0.3,-0.07
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,NBA,,190,1623,9.3,0.41,NA,0.261,NA,NA,NA,9.3,NA,NA,NA,NA,-1.9,3.1,1.2,0.037
1 season,NA,BUF,NBA,,44,483,10,0.413,NA,0.257,NA,NA,16.3,11.4,NA,NA,NA,NA,-0.4,0.4,0,0
1 season,NA,PTC,ABA,,18,217,6,0.377,0.019,0.17,13.5,23.1,18.3,6.8,NA,23,12.4,NA,-0.3,0,-0.3,-0.07
1 season,NA,CHI,NBA,,9,65,9.8,0.449,NA,0.381,NA,NA,NA,3.9,NA,NA,NA,NA,0,0.1,0.1,0.067
