Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Nate Bowman,,1.3,0.1,0,0,0,-0.3
Wallace Bryant,65.5,1.3,0,0,NA,NA,NA
Luke Witte,47.7,1,0.1,0.1,NA,NA,NA
Bevo Nordmann,43.2,1.7,0.1,0.1,0,NA,NA
Wang Zhizhi,42.5,1.5,0.2,0.1,0.1,0.1,NA
Daniel Santiago,41.7,1.2,0.6,0,0,NA,NA
Bernard James,38.9,1.2,0.5,0.1,NA,NA,NA
Josh Harrellson,37.5,1.4,0.7,0,NA,NA,NA
Jason Collier,37.2,1.2,0.4,0.3,0,0,NA
Mike Peplowski,35.5,0.9,0.1,0,NA,NA,NA
Chris Johnson,35.1,1,0.2,0.2,NA,NA,NA
