Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1966-67,23,CHI,NBA,C,9,NA,65,4.4,11.6,0.381,NA,NA,NA,4.4,11.6,0.381,3.3,4.4,0.75,NA,NA,15.5,1.1,NA,NA,10,12.2
1967-68,24,NYK,NBA,C,42,NA,272,6.9,17.7,0.388,NA,NA,NA,6.9,17.7,0.388,1.3,2,0.667,NA,NA,15,2.6,NA,NA,9.1,15.1
1968-69,25,NYK,NBA,C,67,NA,607,4.9,13.4,0.363,NA,NA,NA,4.9,13.4,0.363,1.7,3.6,0.475,NA,NA,13,3.1,NA,NA,8.4,11.4
1969-70,26,NYK,NBA,C,81,NA,744,4.7,11.4,0.417,NA,NA,NA,4.7,11.4,0.417,2,3.8,0.519,NA,NA,12.4,2.2,NA,NA,9.1,11.5
1970-71,27,BUF,NBA,C,44,NA,483,4.3,11,0.392,NA,NA,NA,4.3,11,0.392,1.5,2.8,0.526,NA,NA,12.9,3.1,NA,NA,6.8,10.1
1971-72,28,PTC,ABA,C,18,NA,217,3.2,8.8,0.358,0,0.2,0,3.2,8.6,0.365,0.8,1.5,0.556,5.3,9.1,14.4,2.2,NA,2.8,8,7.1
Career,NA,,TOT,,261,NA,2388,4.8,12.3,0.388,0,0.2,0,4.8,12.3,0.388,1.7,3.2,0.529,5.3,9.1,13.2,2.6,NA,2.8,8.4,11.2
,NA,,NBA,,243,NA,2171,4.9,12.7,0.39,NA,NA,NA,4.9,12.7,0.39,1.8,3.3,0.527,NA,NA,13.1,2.7,NA,NA,8.4,11.6
,NA,,ABA,,18,NA,217,3.2,8.8,0.358,0,0.2,0,3.2,8.6,0.365,0.8,1.5,0.556,5.3,9.1,14.4,2.2,NA,2.8,8,7.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,NBA,,190,NA,1623,5.1,13.2,0.39,NA,NA,NA,5.1,13.2,0.39,1.8,3.4,0.516,NA,NA,13.1,2.6,NA,NA,8.9,12.1
1 season,NA,BUF,NBA,,44,NA,483,4.3,11,0.392,NA,NA,NA,4.3,11,0.392,1.5,2.8,0.526,NA,NA,12.9,3.1,NA,NA,6.8,10.1
1 season,NA,PTC,ABA,,18,NA,217,3.2,8.8,0.358,0,0.2,0,3.2,8.6,0.365,0.8,1.5,0.556,5.3,9.1,14.4,2.2,NA,2.8,8,7.1
1 season,NA,CHI,NBA,,9,NA,65,4.4,11.6,0.381,NA,NA,NA,4.4,11.6,0.381,3.3,4.4,0.75,NA,NA,15.5,1.1,NA,NA,10,12.2
