Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1966-67,23,CHI,NBA,C,9,NA,65,8,21,0.381,NA,NA,NA,8,21,0.381,0.381,6,8,0.75,NA,NA,28,2,NA,NA,18,22
1967-68,24,NYK,NBA,C,42,NA,272,52,134,0.388,NA,NA,NA,52,134,0.388,0.388,10,15,0.667,NA,NA,113,20,NA,NA,69,114
1968-69,25,NYK,NBA,C,67,NA,607,82,226,0.363,NA,NA,NA,82,226,0.363,0.363,29,61,0.475,NA,NA,220,53,NA,NA,142,193
1969-70,26,NYK,NBA,C,81,NA,744,98,235,0.417,NA,NA,NA,98,235,0.417,0.417,41,79,0.519,NA,NA,257,46,NA,NA,189,237
1970-71,27,BUF,NBA,C,44,NA,483,58,148,0.392,NA,NA,NA,58,148,0.392,0.392,20,38,0.526,NA,NA,173,41,NA,NA,91,136
1971-72,28,PTC,ABA,C,18,NA,217,19,53,0.358,0,1,0,19,52,0.365,0.358,5,9,0.556,32,55,87,13,NA,17,48,43
Career,NA,,TOT,,261,NA,2388,317,817,0.388,0,1,0,317,816,0.388,0.388,111,210,0.529,32,55,878,175,NA,17,557,745
,NA,,NBA,,243,NA,2171,298,764,0.39,NA,NA,NA,298,764,0.39,0.39,106,201,0.527,NA,NA,791,162,NA,NA,509,702
,NA,,ABA,,18,NA,217,19,53,0.358,0,1,0,19,52,0.365,0.358,5,9,0.556,32,55,87,13,NA,17,48,43
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,NBA,,190,NA,1623,232,595,0.39,NA,NA,NA,232,595,0.39,0.39,80,155,0.516,NA,NA,590,119,NA,NA,400,544
1 season,NA,BUF,NBA,,44,NA,483,58,148,0.392,NA,NA,NA,58,148,0.392,0.392,20,38,0.526,NA,NA,173,41,NA,NA,91,136
1 season,NA,PTC,ABA,,18,NA,217,19,53,0.358,0,1,0,19,52,0.365,0.358,5,9,0.556,32,55,87,13,NA,17,48,43
1 season,NA,CHI,NBA,,9,NA,65,8,21,0.381,NA,NA,NA,8,21,0.381,0.381,6,8,0.75,NA,NA,28,2,NA,NA,18,22
