,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,INA,ABA,,4,,1,,,,2,4,,,,,,,,,10
1973-74,23,INA,ABA,,2,,0,,,,1,2,,,,,,,,,5
Career,,,,,4,,1,,,,2,4,,,,,,,,,10
