Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ted McClain,,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA,NA,NA
Mike James,86.3,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
George Senesky,85.4,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA,NA,NA
Lewis Lloyd,84.3,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA,NA,NA
Larry Drew,83.8,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA,NA
Gene Littles,83.7,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA,NA,NA,NA,NA
Vincent Askew,83.6,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA,NA,NA
Chris Whitney,82.4,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3,NA
John Roche,82.3,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,NA,NA,NA,NA
Frank Selvy,82.3,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA,NA,NA,NA
Paul Walther,82.1,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA,NA
