Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ted McClain,,7,4.2,4.1,2.7,2,0.8,0.5,-0.1
Larry Drew,87.5,7.2,4.6,3.6,3,2.8,1.2,0.1,0
Mike James,87.0,7.6,5.2,4.3,2.8,1.8,0.3,0,-0.1
Thabo Sefolosha,86.0,6.8,4.1,4,3,2.2,1.8,1.5,0.8
George Senesky,85.4,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3
Craig Ehlo,84.7,6.5,4.6,3.4,3.1,1.2,0.5,0.2,0
Vincent Askew,84.6,6,4.6,4.3,2.9,2.7,1.5,0.2,-0.2
Lewis Lloyd,84.3,6.3,4.7,4.6,2.6,1.6,0.1,0,NA
Earl Boykins,84.1,6,4.1,3.5,2.9,1,0.8,0.3,-0.3
Johnny Dawkins,83.7,6.4,4.3,3.6,2,1.7,1.1,1,0.6
Gene Littles,83.7,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA
