Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim Farmer,,0.7,0.4,0.1,-0.1,-0.4
Greg Graham,37.5,0.8,0.3,0.3,0.1,-0.1
Terry Duerod,36.8,0.7,0.2,0.2,-0.2,NA
Acie Law,34.9,0.7,0.6,0.4,-0.1,NA
Zoran Planinić,32.7,0.8,0.7,0.1,NA,NA
Chris Corchiani,32.4,0.9,0.4,0.3,NA,NA
Kris Dunn,32.0,0.9,0.6,0.1,NA,NA
Bryan Warrick,31.5,1,0.5,0.1,0,NA
Rick Brunson,30.9,0.7,0.6,-0.1,-0.2,-0.2
Yakhouba Diawara,30.6,0.7,0.5,0.5,-0.1,NA
Litterial Green,30.4,0.8,0.8,0.1,0,-0.1
