Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Al Smith,,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA
Rick Mount,89.1,4.6,3.5,1.1,0.7,0.6,NA,NA,NA,NA,NA
Pep Saul,87.7,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA
Roger Mason,85.9,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Paul Hoffman,85.4,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA,NA
Eddie Robinson,85.4,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA
Brandon Knight,84.7,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA
Reggie Bullock,84.5,4.2,3.1,1.2,1,0.2,0.1,NA,NA,NA,NA
Ish Smith,83.7,4.4,3.1,1.7,1.3,1,0.3,-0.1,-0.1,-0.4,NA
Matt Carroll,83.5,4.6,3,2.6,0.8,0.7,0,0,-0.1,-0.1,-0.6
Al Skinner,83.5,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA,NA
