Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Al Smith,,4.5,3.3,1.8,0.9,0.6
Marquis Daniels,89.6,4.2,3.2,2.5,0.9,0.6
Rick Mount,89.1,4.6,3.5,1.1,0.7,0.6
Slick Watts,88.3,4.7,3.3,2.7,1.2,0.8
Brandon Knight,87.2,4.5,2.8,1.7,1.3,1.1
Jordan Farmar,87.1,3.9,2.8,1.9,0.9,0.8
Martell Webster,86.4,4.4,3.5,1.3,0.9,0
Jason Williams,85.7,4.7,3.8,2.1,1.5,0.9
Paul Hoffman,85.4,4.7,4.1,2.2,1.1,0.8
Eddie Robinson,85.4,4,3,2.2,0.8,0.2
Frank Johnson,84.9,4.3,3,2.1,1.9,0.5
