Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,SDR,NBA,PG,6,NA,187,24,53,0.453,22,37,0.595,NA,NA,15,29,NA,NA,18,70
1973-74,27,CHI,NBA,PG,9,NA,108,16,34,0.471,7,11,0.636,1,9,10,7,7,0,5,39
1974-75,28,KCO,NBA,PG,6,NA,34,3,9,0.333,6,8,0.75,1,1,2,3,1,0,9,12
Career,NA,,NBA,,21,NA,329,43,96,0.448,35,56,0.625,2,10,27,39,8,0,32,121
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHI,NBA,,9,NA,108,16,34,0.471,7,11,0.636,1,9,10,7,7,0,5,39
1 season,NA,SDR,NBA,,6,NA,187,24,53,0.453,22,37,0.595,NA,NA,15,29,NA,NA,18,70
1 season,NA,KCO,NBA,,6,NA,34,3,9,0.333,6,8,0.75,1,1,2,3,1,0,9,12
