Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Rick Adelman,,3.4,2.2,1.6,1.3,0.7,0.7,0.1
Gary Neal,88.1,3.5,2.5,1.9,1.4,1,0.6,-0.1
Wes Matthews,87.9,3,2.6,1.6,1.3,0.7,0.6,0.4
Ron Lee,85.3,3.8,2.8,1.6,1.4,0.8,0.3,NA
Al Ferrari,84.8,3.3,1.9,1.4,1.4,0.9,0,NA
Matthew Dellavedova,84.7,3.8,2.1,1.9,1.2,0.5,0.5,NA
Sam Vincent,84.0,3.3,2.4,2.3,1.1,0.9,0.5,0.3
J.J. Barea,81.5,3.2,2.2,2.2,1.9,1.2,0.5,0.1
Kent Bazemore,80.8,4.1,2.2,2.1,1.6,0.7,0.2,0.1
Jerry Reynolds,80.4,3.7,1.6,1.3,1.3,1,0.9,0.6
Larry Wright,80.4,3.5,2.7,1.8,1.4,1.2,0,NA
