Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,27,CHI,NBA,PG,55,NA,618,4.7,12.6,0.376,4,5.6,0.711,1.2,3.9,5.1,4.1,2.7,0.1,4.7,13.5,NA,NA,94
1974-75,28,TOT,NBA,PG,58,NA,1074,5.2,12.3,0.423,3.1,4.4,0.709,1.1,3,4,4.7,3,0.3,4.3,13.5,NA,NA,97
1974-75,28,CHI,NBA,PG,12,NA,340,6.1,14.7,0.413,4,5.5,0.718,0.8,2.8,3.7,5,2.3,0.1,4.4,16.1,NA,NA,96
1974-75,28,NOJ,NBA,PG,28,NA,613,4.8,11.4,0.421,2.9,4.2,0.695,0.9,3,3.9,4.9,3.4,0.4,4.2,12.5,NA,NA,98
1974-75,28,KCO,NBA,PG,18,NA,121,4.9,10.6,0.464,1.5,1.9,0.8,2.3,3,5.3,3,2.7,0.4,4.6,11.4,NA,NA,98
Career,NA,,NBA,,113,NA,1692,5,12.4,0.415,3.4,4.8,0.713,1.1,3.3,4.4,4.5,2.9,0.2,4.4,13.5,NA,NA,96
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,67,NA,958,5.2,13.3,0.391,4,5.6,0.713,1.1,3.5,4.6,4.4,2.5,0.1,4.6,14.4,NA,NA,95
1 season,NA,NOJ,NBA,,28,NA,613,4.8,11.4,0.421,2.9,4.2,0.695,0.9,3,3.9,4.9,3.4,0.4,4.2,12.5,NA,NA,98
1 season,NA,KCO,NBA,,18,NA,121,4.9,10.6,0.464,1.5,1.9,0.8,2.3,3,5.3,3,2.7,0.4,4.6,11.4,NA,NA,98
2 seasons,NA,SDR,NBA,,0,NA,0,NA,NA,0.392,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,POR,NBA,,0,NA,0,NA,NA,0.424,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
