Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,SDR,NBA,PG,77,NA,18.8,2.3,5.8,0.394,1.7,2.6,0.642,NA,NA,2.8,3.1,NA,NA,2.1,6.3
1969-70,23,SDR,NBA,PG,35,NA,20.5,2.7,7.1,0.389,1.9,2.6,0.747,NA,NA,2.3,3.2,NA,NA,2.6,7.4
1970-71,24,POR,NBA,PG,81,NA,28.4,4.7,11,0.422,3.3,4.6,0.724,NA,NA,3.5,4.7,NA,NA,2.6,12.6
1971-72,25,POR,NBA,PG,80,NA,30.6,4.1,9.4,0.437,1.9,2.5,0.751,NA,NA,2.9,5.2,NA,NA,2.6,10.1
1972-73,26,POR,NBA,PG,76,NA,24,2.8,6.9,0.408,1,1.3,0.716,NA,NA,2.1,3.9,NA,NA,2,6.6
1973-74,27,CHI,NBA,PG,55,NA,11.2,1.2,3.1,0.376,1,1.4,0.711,0.3,1,1.3,1,0.7,0,1.1,3.3
1974-75,28,TOT,NBA,PG,58,NA,18.5,2.1,5,0.423,1.3,1.8,0.709,0.4,1.2,1.6,1.9,1.2,0.1,1.7,5.5
1974-75,28,CHI,NBA,PG,12,NA,28.3,3.6,8.7,0.413,2.3,3.3,0.718,0.5,1.7,2.2,2.9,1.3,0.1,2.6,9.5
1974-75,28,NOJ,NBA,PG,28,NA,21.9,2.4,5.7,0.421,1.5,2.1,0.695,0.5,1.5,2,2.5,1.7,0.2,2.1,6.3
1974-75,28,KCO,NBA,PG,18,NA,6.7,0.7,1.6,0.464,0.2,0.3,0.8,0.3,0.4,0.8,0.4,0.4,0.1,0.7,1.7
Career,NA,,NBA,,462,NA,22.6,3,7.2,0.415,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,2.1,7.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,POR,NBA,,237,NA,27.7,3.9,9.2,0.424,2.1,2.8,0.731,NA,NA,2.8,4.6,NA,NA,2.4,9.8
2 seasons,NA,SDR,NBA,,112,NA,19.3,2.4,6.2,0.392,1.8,2.6,0.675,NA,NA,2.7,3.1,NA,NA,2.2,6.7
2 seasons,NA,CHI,NBA,,67,NA,14.3,1.6,4.1,0.391,1.2,1.7,0.713,0.3,1.1,1.4,1.4,0.8,0,1.4,4.4
1 season,NA,NOJ,NBA,,28,NA,21.9,2.4,5.7,0.421,1.5,2.1,0.695,0.5,1.5,2,2.5,1.7,0.2,2.1,6.3
1 season,NA,KCO,NBA,,18,NA,6.7,0.7,1.6,0.464,0.2,0.3,0.8,0.3,0.4,0.8,0.4,0.4,0.1,0.7,1.7
