,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,SDR,NBA,,10,,6,11,,,,,,,,23
1969-70,23,SDR,NBA,,9,,7,7,,,,,,,,23
1970-71,24,POR,NBA,,10,18,13,14,,,11,13,,,6,27
1971-72,25,POR,NBA,,11,,7,8,,,,,,,,24
1972-73,26,POR,NBA,,12,18,7,11,,,6,12,,,6,25
1973-74,27,CHI,NBA,,6,,8,12,,,,,,,,12
1974-75,28,TOT,NBA,,8,,6,10,,,,,,,,16
1974-75,28,CHI,NBA,,7,16,5,6,,,5,7,,,5,16
1974-75,28,NOJ,NBA,,8,,6,10,,,,,,,,16
1974-75,28,KCO,NBA,,4,,2,2,,,,,,,,9
Career,,,,,12,,13,14,,,,,,,,27
3 Seasons,,POR,NBA,,12,,13,14,,,,,,,,27
2 Seasons,,SDR,NBA,,10,,7,11,,,,,,,,23
2 Seasons,,CHI,NBA,,7,,8,12,,,,,,,,16
1 Season,,NOJ,NBA,,8,,6,10,,,,,,,,16
1 Season,,KCO,NBA,,4,,2,2,,,,,,,,9
