Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Rick Adelman,,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA,NA
Ennis Whatley,88.3,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0
Gary Neal,88.1,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA
Ron Lee,85.3,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA
Al Ferrari,84.8,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA,NA
Matthew Dellavedova,84.7,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA
Sam Vincent,84.0,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA,NA
Wes Matthews,83.7,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,NA
Mike Evans,82.4,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2,NA
Ronald Murray,82.3,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,NA,NA
Kent Bazemore,80.8,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA
