Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1968-69,22,SDR,NBA,PG,77,1448,11.4,0.45,0.454,NA,NA,NA,20.3,NA,NA,NA,0.2,2.1,2.2,0.074,NA,NA,NA,NA,NA
1969-70,23,SDR,NBA,PG,35,717,10.2,0.453,0.368,NA,NA,NA,18.7,NA,NA,NA,-0.2,0.9,0.7,0.048,NA,NA,NA,NA,NA
1970-71,24,POR,NBA,PG,81,2303,13.4,0.484,0.412,NA,NA,5.3,21.2,NA,NA,NA,1.5,1.9,3.4,0.071,NA,NA,NA,NA,NA
1971-72,25,POR,NBA,PG,80,2445,11.5,0.481,0.267,NA,NA,4.4,22.8,NA,NA,NA,1,0.5,1.6,0.03,NA,NA,NA,NA,NA
1972-73,26,POR,NBA,PG,76,1822,9.5,0.44,0.194,NA,NA,4.2,20.4,NA,NA,NA,-0.4,0.5,0.1,0.003,NA,NA,NA,NA,NA
1973-74,27,CHI,NBA,PG,55,618,10,0.447,0.447,2.6,9,5.8,12.4,2.7,0.1,NA,-0.3,0.9,0.7,0.053,NA,-3.5,1.8,-1.6,0.1
1974-75,28,TOT,NBA,PG,58,1074,11.1,0.474,0.354,2.3,6.8,4.5,14.7,2.9,0.4,NA,0.2,1.2,1.3,0.059,NA,-2.7,1.4,-1.3,0.2
1974-75,28,CHI,NBA,PG,12,340,11.3,0.47,0.375,1.9,6.2,4,15.4,2.3,0.2,NA,0.1,0.4,0.5,0.075,NA,-2.4,0.6,-1.8,0
1974-75,28,NOJ,NBA,PG,28,613,11.2,0.473,0.371,2.1,7.1,4.5,15.5,3.4,0.5,NA,0,0.6,0.6,0.047,NA,-2.9,2,-0.9,0.2
1974-75,28,KCO,NBA,PG,18,121,10,0.497,0.179,5.1,6.9,6,9.2,2.7,0.4,NA,0.1,0.1,0.2,0.077,NA,-2.9,0.9,-2,0
Career,NA,,NBA,,462,10427,11.3,0.467,0.344,2.5,7.6,4.7,20,2.8,0.3,NA,1.9,8.1,10,0.046,NA,-3,1.6,-1.4,0.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,POR,NBA,,237,6570,11.6,0.473,0.309,NA,NA,4.7,21.6,NA,NA,NA,2.1,3,5,0.037,NA,NA,NA,NA,NA
2 seasons,NA,SDR,NBA,,112,2165,11,0.451,0.424,NA,NA,NA,19.7,NA,NA,NA,-0.1,3,3,0.066,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,67,958,10.4,0.456,0.42,2.4,8,5.2,13.5,2.5,0.1,NA,-0.2,1.4,1.2,0.061,NA,-3.1,1.4,-1.7,0.1
1 season,NA,NOJ,NBA,,28,613,11.2,0.473,0.371,2.1,7.1,4.5,15.5,3.4,0.5,NA,0,0.6,0.6,0.047,NA,-2.9,2,-0.9,0.2
1 season,NA,KCO,NBA,,18,121,10,0.497,0.179,5.1,6.9,6,9.2,2.7,0.4,NA,0.1,0.1,0.2,0.077,NA,-2.9,0.9,-2,0
